Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,95,3.6,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1,Matches
2,George Abbott,eng ENG,MF,Tottenham,16,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Che Adams,sct SCO,FW,Southampton,26,1996,22.1,57,3,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0,Matches
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24,43,2,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,18,1,15,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,14,1,12,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
7,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
8,Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,12,23,2,14,2,4,1,2,0,0,0,0,0,0,0,0,0,Matches
9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,23,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
11,Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.1,2,0,0,0,0,0,Matches
12,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,2.6,7,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,41,3,33,0,3,1,1,3,2,0.14,2,0,0,0,0,0,Matches
14,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,11.4,22,2,14,0,2,3,2,1,4,0.35,3,0,0,1,0,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,124,4,81,34,3,5,1,0,17,0.52,14,2,1,0,0,0,Matches
16,Alisson,br BRA,GK,Liverpool,29,1992,37,3,0,3,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
17,Dele Alli,eng ENG,MF,Everton,26,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,87,3,63,2,10,9,3,0,13,0.47,5,1,5,2,0,0,Matches
19,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,16.3,52,3,39,0,6,5,2,0,5,0.31,2,0,1,1,1,0,Matches
20,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,15,1,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
21,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,0,1,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,25,1,20,3,0,0,1,1,1,0.03,0,1,0,0,0,0,Matches
23,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,4.6,22,5,16,0,2,0,4,0,1,0.22,1,0,0,0,0,0,Matches
24,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,14,38,2.72,28,3,4,1,1,1,4,0.29,2,0,1,0,1,0,Matches
25,Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,39,2,24,0,6,4,5,0,9,0.44,6,0,2,1,0,0,Matches
26,Antony,br BRA,FW,Manchester Utd,22,2000,20,74,4,61,0,5,3,4,1,7,0.35,6,0,1,0,0,0,Matches
27,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,13.6,27,2,23,0,1,1,1,1,2,0.15,1,0,1,0,0,0,Matches
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,14.8,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1,Matches
31,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,15.6,50,3,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0,Matches
32,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,6.2,8,1.3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
34,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,21.6,26,1.2,21,2,0,0,2,1,1,0.05,0,1,0,0,0,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,15.6,25,2,18,0,2,2,2,1,4,0.26,2,0,1,1,0,0,Matches
37,Yasin Ayari,se SWE,MF,Brighton,18,2003,0.7,4,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
38,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,3,0.86,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,30.2,78,3,53,0,9,6,7,3,8,0.27,5,0,1,1,1,0,Matches
40,Luke Ayling,eng ENG,DF,Leeds United,30,1991,22.8,40,1.75,33,0,0,3,2,2,1,0.04,1,0,0,0,0,0,Matches
41,César Azpilicueta,es ESP,DF,Chelsea,32,1989,17,25,1.47,25,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,10.1,12,1.19,11,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,21.9,62,3,40,2,10,7,3,0,8,0.37,5,0,0,3,0,0,Matches
44,Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,5.8,13,2,8,1,2,0,2,0,1,0.17,0,0,1,0,0,0,Matches
45,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Patrick Bamford,eng ENG,FW,Leeds United,28,1993,16.8,27,1.6,17,0,1,5,3,1,6,0.36,4,0,1,1,0,0,Matches
47,Shandon Baptiste,gd GRN,MF,Brentford,24,1998,6.9,18,2.63,11,1,2,2,2,0,4,0.58,3,0,0,0,1,0,Matches
48,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,30.1,63,2,43,0,3,9,7,1,14,0.46,8,0,1,2,2,1,Matches
49,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,7,0.22,5,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,0.2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Jan Bednarek,pl POL,DF,Southampton,26,1996,18.6,7,0.38,5,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
52,Jan Bednarek,pl POL,DF,Aston Villa,26,1996,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,1.9,6,3.23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Asmir Begović,ba BIH,GK,Everton,35,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Armel Bella Kotchap,de GER,DF,Southampton,20,2001,20.9,14,1,7,0,1,3,2,1,2,0.1,1,0,0,1,0,0,Matches
56,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,23,92,4,68,2,11,8,3,0,5,0.22,4,0,1,0,0,0,Matches
57,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,16.7,34,2.04,27,0,1,2,1,3,5,0.3,2,0,0,1,0,2,Matches
58,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,9.9,14,1.41,9,4,0,1,0,0,3,0.3,3,0,0,0,0,0,Matches
60,Owen Bevan,wls WAL,DF,Bournemouth,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,0.2,1,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,30.7,54,1.76,41,2,5,5,1,0,6,0.2,4,0,0,2,0,0,Matches
