Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,36,"2,372",66,69.4,26.4,28,78,8,8,22,2,0.86,35,58,-23,-0.87,-0.27,33.3,49.8,-16.5,-0.63,-0.35,Matches
2,George Abbott,eng ENG,MF,Tottenham,16,2005,1,1,1,0,0,0,,0,1,1,1,3,1,0,1,90,89.84,0.3,0,0.3,28.39,28.2,Matches
3,Terry Ablade,fi FIN,FW,Fulham,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
4,Che Adams,sct SCO,FW,Southampton,26,1996,28,"1,992",71,58.2,22.1,23,82,13,5,22,1,0.71,18,41,-23,-1.04,-0.16,24.1,33.2,-9.2,-0.41,0.48,Matches
5,Tyler Adams,us USA,MF,Leeds United,23,1999,24,"2,156",90,63,24,24,90,23,0,,0,0.96,28,36,-8,-0.33,1.23,30.2,33,-2.9,-0.12,1.09,Matches
6,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,"2,085",83,61,23.2,23,90,23,2,8,13,1.44,36,39,-3,-0.13,-0.47,26.5,42.8,-16.3,-0.7,-0.62,Matches
7,Omotayo Adaramola,ie IRL,DF,Crystal Palace,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
8,Adrián,es ESP,GK,Liverpool,35,1987,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
9,Daniel Adu-Adjei,eng ENG,FW,Bournemouth,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
10,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,"1,595",89,46.6,17.7,17,89,16,1,76,3,1.06,23,28,-5,-0.28,0.11,24.2,28.6,-4.5,-0.25,-0.28,Matches
11,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,8,94,12,2.7,1,0,,0,8,12,3,0.38,0,2,-2,-1.91,-1.73,1.1,1.8,-0.7,-0.69,-0.47,Matches
12,Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,21,"1,076",51,31.5,12,9,81,4,12,29,7,1,8,18,-10,-0.84,-0.18,11.6,18.7,-7.1,-0.6,0.01,Matches
13,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,763,85,22.3,8.5,9,85,6,0,,10,1.11,7,14,-7,-0.83,-1.47,9.4,11.1,-1.6,-0.19,-0.48,Matches
14,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,29,"2,287",79,66.9,25.4,24,88,22,5,36,1,2.52,63,23,40,1.57,-0.09,51.6,21.1,30.5,1.2,-0.07,Matches
15,Nathan Aké,nl NED,DF,Manchester City,27,1995,26,"1,873",72,54.8,20.8,22,82,16,4,16,4,2.23,53,15,38,1.83,0.49,44.8,16.2,28.6,1.37,0.33,Matches
16,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,6,237,40,6.9,2.6,1,67,0,5,34,13,1.67,4,3,1,0.38,0.89,4.9,4.3,0.6,0.24,0.62,Matches
17,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,18,"1,254",70,36.7,13.9,14,82,9,4,25,0,1.72,22,23,-1,-0.07,-1.28,24.4,20.7,3.7,0.26,-0.49,Matches
18,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,18,"1,029",57,30.1,11.4,13,70,2,5,24,2,0.72,15,25,-10,-0.87,0.14,12.2,22.7,-10.5,-0.92,-0.44,Matches
19,Kyle Alex John,eng ENG,DF,Everton,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
20,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,"2,923",79,85.5,32.5,34,85,23,3,16,1,1.78,70,44,26,0.8,0.44,64.2,42.6,21.6,0.66,0.65,Matches
21,Alisson,br BRA,GK,Liverpool,29,1992,37,"3,330",90,97.4,37,37,90,37,0,,0,1.78,71,43,28,0.76,0.76,68.6,49.1,19.5,0.53,-1.64,Matches
22,Allan,br BRA,"DF,MF",Everton,31,1991,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
23,Dele Alli,eng ENG,MF,Everton,26,1996,2,40,20,1.2,0.4,0,,0,2,20,1,0,1,1,0,0,0.61,1,1.7,-0.7,-1.57,-1.04,Matches
24,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,34,"2,491",73,72.8,27.7,29,81,6,5,26,0,1.74,43,22,21,0.76,-0.6,45.9,27.5,18.3,0.66,-0.7,Matches
