Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Mis,Dis,Rec,Prog,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,1143,12,116,495,554,72,1143,100,34,34,71,82,767,151,Matches
2,George Abbott,eng ENG,MF,Tottenham,16,2005,0,2,1,1,1,0,0,2,0,0,,0,0,1,0,Matches
3,Che Adams,sct SCO,FW,Southampton,26,1996,22.1,717,29,66,286,377,103,717,33,16,48.5,66,28,558,115,Matches
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24,1628,44,376,1010,254,5,1628,22,7,31.8,28,18,919,20,Matches
5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,1544,231,776,732,46,19,1544,7,5,71.4,4,4,975,3,Matches
6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,949,161,563,358,35,23,949,6,4,66.7,8,7,564,4,Matches
7,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1,63,0,12,35,16,4,63,2,1,50,5,1,39,11,Matches
8,Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,12,740,40,240,279,233,28,740,50,28,56,28,12,454,76,Matches
9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,412,45,184,167,64,9,412,7,1,14.3,3,8,231,12,Matches
10,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,2231,121,815,1248,176,34,2231,12,6,50,12,3,1734,17,Matches
11,Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,1959,86,615,1097,256,32,1959,5,3,60,16,0,1492,30,Matches
12,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,2.6,173,6,33,61,79,5,173,2,2,100,4,2,116,18,Matches
13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,1251,45,272,796,188,8,1251,30,21,70,13,22,910,24,Matches
14,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,11.4,430,14,73,234,130,23,430,28,13,46.4,30,24,296,32,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,3180,89,737,1631,837,44,3180,45,30,66.7,35,21,2042,139,Matches
16,Alisson,br BRA,GK,Liverpool,29,1992,37,1536,"1,124",1498,39,0,0,1536,2,2,100,1,0,901,0,Matches
17,Dele Alli,eng ENG,MF,Everton,26,1996,0.4,20,0,1,8,11,2,20,1,0,0,3,1,14,1,Matches
18,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,1300,25,147,417,760,138,1300,79,34,43,51,28,924,264,Matches
19,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,16.3,654,8,46,255,360,89,653,38,21,55.3,28,24,506,99,Matches
20,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,1279,185,658,578,46,9,1279,5,2,40,8,4,909,5,Matches
21,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,0,8,0,1,5,3,0,8,4,3,75,0,0,5,0,Matches
22,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,2303,355,1232,996,89,39,2303,9,5,55.6,8,3,1498,7,Matches
23,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,4.6,286,7,44,99,151,39,286,29,10,34.5,9,10,182,35,Matches
24,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,14,717,23,150,271,304,33,717,47,15,31.9,25,27,464,72,Matches
25,Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,596,15,39,262,308,80,596,65,26,40,76,45,476,120,Matches
26,Antony,br BRA,FW,Manchester Utd,22,2000,20,1066,12,134,348,609,85,1066,77,30,39,37,12,813,168,Matches
27,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,0.5,15,0,1,8,7,3,15,1,1,100,2,3,13,3,Matches
28,Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,98,91,98,0,0,0,98,0,0,,0,0,42,0,Matches
29,Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,13.6,566,14,87,269,222,46,566,39,17,43.6,35,22,354,64,Matches
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,14.8,458,11,71,176,222,46,458,43,13,30.2,24,22,273,70,Matches
31,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,15.6,864,21,133,403,341,37,864,52,22,42.3,28,28,596,88,Matches
32,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,1119,892,1103,16,0,0,1119,1,1,100,1,0,604,0,Matches
33,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,6.2,161,7,16,69,79,23,161,5,3,60,11,4,116,29,Matches
34,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,0.9,51,3,19,15,17,2,51,1,0,0,0,0,21,3,Matches
35,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,21.6,1238,107,484,505,263,13,1238,32,16,50,31,18,574,50,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,15.6,435,22,62,177,203,55,435,22,7,31.8,68,29,284,55,Matches
37,Yasin Ayari,se SWE,MF,Brighton,18,2003,0.7,30,0,5,18,8,1,30,1,0,0,2,0,25,2,Matches
38,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,106,11,15,49,42,8,105,6,1,16.7,3,4,62,16,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,30.2,1327,46,192,611,560,98,1327,149,65,43.6,107,83,932,174,Matches
40,Luke Ayling,eng ENG,DF,Leeds United,30,1991,22.8,1413,79,466,578,390,56,1413,33,13,39.4,23,12,700,100,Matches
