Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,1334,61,413,607,325,37,1334,10,22,45.5,24,6,795,56,Matches,5f09991f
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,355,20,35,169,153,60,355,6,18,33.3,33,7,233,68,Matches,f586779e
3,Che Adams,sct SCO,FW,Southampton,24,1996,29.6,912,24,97,396,433,94,912,28,50,56.0,88,44,704,139,Matches,f2bf1b0f
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,2271,397,1308,901,66,34,2271,11,14,78.6,12,5,1516,2,Matches,c81d773d
5,Adrián,es ESP,GK,Liverpool,33,1987,3.0,110,99,110,0,0,0,110,0,0,,0,0,46,0,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,6.2,232,0,5,100,128,44,230,8,13,61.5,15,11,189,42,Matches,4d034881
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,2028,105,773,949,326,18,2028,21,33,63.6,27,10,1251,25,Matches,246d153b
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,979,41,263,428,300,25,979,26,54,48.1,30,19,618,33,Matches,9b398aea
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,1318,221,690,555,84,42,1318,10,18,55.6,24,5,649,5,Matches,d6192210
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,817,39,181,569,67,6,817,0,1,0.0,2,1,656,4,Matches,eaeca114
11,Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,1151,37,244,459,469,39,1151,37,66,56.1,33,29,721,68,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,1930,31,294,1216,434,16,1930,33,48,68.8,23,18,1466,24,Matches,77e84962
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,1683,267,930,725,36,14,1683,4,4,100.0,2,2,1115,1,Matches,f7d50789
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,13,10,12,1,0,0,13,0,0,,0,0,6,0,Matches,8fa8f8d2
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,3280,72,690,1492,1130,80,3280,32,61,52.5,31,22,2196,119,Matches,cd1acf9d
16,Ezgjan Alioski,mk MKD,DFMF,Leeds United,28,1992,27.3,1921,74,554,895,492,40,1921,11,26,42.3,37,15,1190,63,Matches,1a7fcf39
17,Alisson,br BRA,GK,Liverpool,27,1992,33.0,1239,931,1224,16,1,1,1239,2,2,100.0,0,0,665,0,Matches,7a2e46a8
18,Allan,br BRA,MF,Everton,29,1991,22.8,1304,68,384,811,134,3,1304,31,49,63.3,21,18,828,15,Matches,cc700722
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,441,7,63,240,145,23,441,11,25,44.0,13,16,297,26,Matches,cea4ee8f
20,Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27.0,1176,33,229,553,425,40,1176,39,73,53.4,48,34,788,88,Matches,862a1c15
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,719,33,198,296,233,37,719,9,17,52.9,13,9,449,36,Matches,f4290206
22,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,532,17,105,306,127,12,532,8,16,50.0,13,9,391,10,Matches,ad1f61f3
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,569,61,286,254,32,5,569,1,3,33.3,5,3,345,0,Matches,1a4ef233
24,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,1368,139,519,665,199,6,1368,13,15,86.7,16,5,761,10,Matches,10b9fa99
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,2275,309,1259,945,89,24,2275,9,11,81.8,10,3,1452,3,Matches,e34fc66d
26,Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0.0,2,0,0,1,1,1,2,0,0,,0,0,1,1,Matches,de31038e
27,Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0.0,7,0,0,4,3,1,7,0,0,,0,0,6,0,Matches,9f1893b9
28,Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,771,11,35,294,452,117,771,43,87,49.4,78,49,629,137,Matches,ac05f970
29,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,1104,975,1099,5,0,0,1104,0,0,,1,0,415,0,Matches,2f965a72
30,Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,1656,38,234,935,511,52,1656,68,106,64.2,77,68,1116,93,Matches,97333cf5
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,259,234,256,3,0,0,259,0,0,,2,0,146,0,Matches,28d596a0
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,889,19,114,343,440,121,887,12,25,48.0,39,19,694,149,Matches,d5dd5f1f
33,Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,1198,78,414,541,257,24,1198,17,32,53.1,29,13,674,42,Matches,5c2b4f07
34,Charlie Austin,eng ENG,FWMF,West Brom,31,1989,1.5,55,4,8,22,26,3,55,1,2,50.0,4,2,34,3,Matches,8d228291
35,Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,967,17,139,473,376,56,967,52,89,58.4,82,60,704,87,Matches,da052c14
36,Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,3186,235,1337,1389,491,67,3186,41,59,69.5,55,21,2024,56,Matches,420d7c7d
37,César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,2279,113,807,1051,437,38,2279,6,14,42.9,17,6,1602,46,Matches,53cad200
38,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,649,90,337,304,13,3,649,4,4,100.0,7,0,423,0,Matches,a1232f4e
39,Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,629,91,319,293,23,10,629,1,2,50.0,3,0,330,2,Matches,3626f7d9
40,George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31.0,1422,93,385,494,564,45,1422,17,33,51.5,33,20,770,64,Matches,394854c4
41,Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,549,19,79,245,235,41,549,27,49,55.1,17,7,388,59,Matches,a58bb1e1
42,Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,844,47,80,383,391,159,842,19,40,47.5,81,21,548,166,Matches,93feac6e
43,Phil Bardsley,sct SCO,DF,Burnley,35,1985,3.0,193,12,58,100,37,1,193,3,4,75.0,1,1,92,1,Matches,1ae30132
44,Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,940,16,112,415,425,53,940,29,43,67.4,38,32,650,60,Matches,3a24769f
45,Ross Barkley,eng ENG,FWMF,Chelsea,26,1993,0.5,32,1,7,18,8,0,32,1,1,100.0,2,1,25,2,Matches,3a24769f
46,Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,479,11,41,205,234,62,478,1,2,50.0,44,21,373,77,Matches,2691c772
47,Harvey Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,901,13,107,340,474,96,901,40,89,44.9,58,31,701,115,Matches,3ea50f67
48,Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,1168,265,714,391,69,38,1168,4,4,100.0,9,2,511,3,Matches,18e96f64
49,Chris Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,1509,169,574,659,294,41,1509,21,30,70.0,30,19,789,35,Matches,1aa84968
50,Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,253,6,23,131,102,25,253,11,17,64.7,26,22,195,44,Matches,2973d8ff
51,Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,2475,274,1272,1156,57,16,2475,5,6,83.3,11,5,1514,3,Matches,4115ce4e
52,Donny van de Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,345,12,58,183,107,25,345,8,11,72.7,11,8,244,34,Matches,50dc94ce
53,Héctor Bellerín,es ESP,DFMF,Arsenal,25,1995,23.2,1512,56,391,652,479,47,1512,12,25,48.0,24,5,956,74,Matches,f874dd44
54,Saïd Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,743,13,114,302,345,49,743,42,80,52.5,48,33,529,72,Matches,5a04fd92
55,Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,109,3,16,59,35,2,109,2,7,28.6,4,4,72,4,Matches,bf3aeb61
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,830,53,81,408,349,117,830,16,27,59.3,59,27,652,132,Matches,ab070c55
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,72,6,37,32,3,1,72,0,0,,0,0,45,0,Matches,5348aada
58,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,615,27,100,269,252,29,615,10,27,37.0,17,12,410,41,Matches,f72293fc
59,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,585,31,109,293,194,31,584,20,32,62.5,24,13,388,24,Matches,d0b6129f
60,Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,553,11,82,237,247,32,553,22,45,48.9,30,15,409,67,Matches,a29b1131
61,Bernard,br BRA,MFFW,Everton,27,1992,5.1,332,7,34,161,138,15,332,10,16,62.5,16,11,243,28,Matches,ab4b3e35
62,Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,112,4,25,36,51,5,112,0,3,0.0,1,4,77,4,Matches,17370b95
63,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,1779,58,423,890,481,42,1779,3,9,33.3,25,8,1026,59,Matches,01226327
64,Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,2103,99,499,1271,369,11,2103,53,73,72.6,33,29,1356,17,Matches,6c203af0
65,Jayden Bogle,eng ENG,DFMF,Sheffield Utd,20,2000,12.3,559,26,155,170,243,33,559,11,31,35.5,20,17,289,30,Matches,ae5019e6
66,Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,1242,126,600,603,46,23,1242,4,4,100.0,10,3,823,1,Matches,a4ac4b8f
67,Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,1028,12,143,389,517,102,1028,36,67,53.7,63,50,688,133,Matches,79c84d1c
68,Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,527,43,120,237,180,21,527,11,15,73.3,17,9,286,26,Matches,96bb8cc2
69,Rhian Brewster,eng ENG,FWMF,Sheffield Utd,20,2000,12.5,335,4,28,137,174,30,335,8,15,53.3,20,18,223,48,Matches,30e81a88
70,Nathan Broadhead,wls WAL,FW,Everton,22,1998,0.0,3,0,1,2,0,0,3,0,0,,0,0,2,0,Matches,43309491
71,Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,1498,68,261,833,418,60,1498,15,21,71.4,35,15,812,56,Matches,47369df8
72,Joe Bryan,eng ENG,DFMF,Fulham,26,1993,7.4,493,20,149,192,157,8,493,14,14,100.0,13,3,287,13,Matches,af69e7f0
73,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,598,58,271,278,55,7,598,3,5,60.0,10,1,320,8,Matches,c684d3c9
74,Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,428,4,35,170,229,61,428,16,30,53.3,47,28,300,90,Matches,f631c17f
75,Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,1515,107,466,748,315,38,1515,12,20,60.0,28,9,929,45,Matches,b2d31e83
76,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,24,17,24,0,0,0,24,0,0,,0,0,4,0,Matches,cc70a1d5
77,David Button,eng ENG,GK,West Brom,31,1989,1.0,37,31,37,0,0,0,37,0,0,,0,0,13,0,Matches,e608ed4c
78,Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,18,1,7,11,0,0,18,0,0,,0,1,13,0,Matches,aa6f2f2c
79,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,26,19,26,0,0,0,26,0,0,,0,0,16,0,Matches,a179d516
80,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,935,144,561,334,41,27,935,1,1,100.0,7,1,529,1,Matches,7914b9fe
81,Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,689,8,86,369,239,13,689,16,17,94.1,15,11,566,21,Matches,a8748947
82,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,1036,44,92,448,504,144,1036,22,49,44.9,102,29,808,156,Matches,59e6e5bf
83,João Cancelo,pt POR,DFMF,Manchester City,26,1994,25.5,2396,68,457,1187,770,68,2396,47,81,58.0,36,21,1695,90,Matches,bd6351cd
84,Ian Carlo Poveda,eng ENG,MF,Leeds United,20,2000,3.9,178,3,28,61,94,13,178,12,23,52.2,13,16,127,22,Matches,55b4f1d6
85,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,202,13,19,107,76,21,202,2,4,50.0,18,3,141,22,Matches,b581987a
