Saka	(M)	ARS	£9.2	26 (0)	2181	78	28	57	17	11.44	13	36%	34%	20.2	23	66	14	8.72	10	156.38	610	23	176
Haaland	(F)	MCI	£14.5	22 (1)	1834	90	43	84	40	21.15	18	50%	50%	22.8	25	22	5	1.66	7	152.46	541	20	152
Salah	(M)	LIV	£13	21 (1)	1789	67	34	54	22	14.3	15	42%	51%	20.3	24	49	18	6	9	145.02	501	23	167
Watkins	(F)	AVL	£8.9	27 (0)	2388	85	39	77	27	14.2	16	34%	53%	17.7	31	37	9	3.48	15	135.46	621	24	183
Foden	(M)	MCI	£8.2	27 (2)	2222	83	34	47	11	8.07	11	24%	29%	13.7	18	57	10	5.6	7	131.3	615	21	158
Solanke	(F)	BOU	£7.1	26 (0)	2320	80	29	72	22	14.82	14	43%	49%	16.3	17	24	2	1.46	3	129.44	404	15	130
J.Alvarez	(F)	MCI	£6.5	27 (2)	2138	73	30	43	12	9.07	8	26%	29%	14.6	18	61	7	5.51	10	122.11	543	17	128
Saliba	(D)	ARS	£5.8	27 (0)	2430	8	3	6	3	1.54	2	4%	4%	2.3	3	5	0	0.76	1	119.63	537	6	110
White	(D)	ARS	£5.6	26 (2)	2049	8	6	6	2	0.79	2	6%	8%	3.4	5	19	3	2.6	3	117.72	506	8	108
Gabriel	(D)	ARS	£5.3	25 (2)	2085	21	9	19	5	3.11	3	7%	7%	3.6	4	3	2	0.51	1	117.19	463	6	102
Bowen	(M)	WHU	£7.9	26 (0)	2336	63	30	50	18	9.39	14	33%	41%	12.3	17	18	7	2.9	3	116.99	404	11	145
Ødegaard	(M)	ARS	£8.5	24 (0)	2123	52	18	25	4	5.42	6	24%	22%	12.1	13	70	13	6.7	7	114.8	494	18	126
Son	(M)	TOT	£9.8	23 (1)	1905	57	27	44	13	7.54	13	31%	40%	12.6	19	42	14	5.05	6	110.6	490	18	149
Darwin	(F)	LIV	£7.5	25 (9)	1496	84	36	63	28	13.29	10	29%	32%	16.6	19	27	9	3.36	9	109.56	344	9	106
B.Fernandes	(M)	MUN	£8.2	26 (0)	2340	66	25	24	6	5.96	3	33%	27%	12.7	10	77	13	6.78	7	109.21	445	10	94
Luis Díaz	(M)	LIV	£7.5	26 (5)	1755	65	22	50	12	8.07	6	18%	18%	10.5	11	31	2	2.41	5	108.49	276	5	100
